"Категория","Предмет","Оборачиваемость дни","Доступность товара для клиента"
"Оргтехника","Тонеры для картриджей","7","Дефицит товара"
"Продукты","Сыры","5","Дефицит товара"
"Хранение вещей","Коробки для хранения","46","Дефицит товара"
"Товары для взрослых","Секс машины","33","Дефицит товара"
"Строительные инструменты","Угольники столярные","16","Дефицит товара"
"Здоровье","Тренажеры для глаз","1","Дефицит товара"
"Дом","Зеркала для ванной","11","Дефицит товара"
"Посуда и инвентарь","Емкости для масла и уксуса","40","Дефицит товара"
"Товары для взрослых","Простыни БДСМ","49","Дефицит товара"
"Посуда и инвентарь","Органайзеры на мойку","52","Дефицит товара"
"Для праздника","Венки","9","Дефицит товара"
"Все для садоводства","Мини-парники","68","Нормальная доступность товара"
"Спортивная одежда","Велоштаны","66","Нормальная доступность товара"
"Спортивный товар","Колышки для палаток","15","Дефицит товара"
"Посуда и инвентарь","Креманки","17","Дефицит товара"
"Строительные инструменты","Молотки отбойные","14","Дефицит товара"
"Здоровье","Скребки Гуаша","39","Дефицит товара"
"Все для садоводства","Керамзит","20","Дефицит товара"
"Строительные инструменты","Лестницы","23","Дефицит товара"
"Спортивный товар","Флягодержатели","160","Избыток товара"
"Аксессуары для обуви","Шампуни для обуви","75","Нормальная доступность товара"
"Рукоделие","Счетчики рядов","16","Дефицит товара"
"Строительные материалы","Клейкие ленты монтажные","33","Дефицит товара"
"Строительные инструменты","Маяки для наливных полов","20","Дефицит товара"
"Дом","Матрешки","17","Дефицит товара"
"Товары для животных","Душевые лейки для животных","79","Нормальная доступность товара"
"Красота","Жидкости для снятия лака","61","Нормальная доступность товара"
"Для праздника","Карнавальные очки","11","Дефицит товара"
"Спортивный товар","Колодки тормозные","150","Избыток товара"
"Книжная продукция и диски","Медиа на USB-накопителе","19","Дефицит товара"
"Посуда и инвентарь","Прессы для картофеля","44","Дефицит товара"
"Автомобильные товары","Коньки для лыж снегохода","0","Дефицит товара"
"Товары для взрослых","Концентраты феромонов","58","Дефицит товара"
"Красота","Водоросли косметические","19","Дефицит товара"
"Книжная продукция и диски","Цветовые веера","3","Дефицит товара"
"Красота","Отдушки косметические","12","Дефицит товара"
"Строительные материалы","Трубы металлические","9","Дефицит товара"
"Красота","Точилки для бритвенных лезвий","119","Нормальная доступность товара"
"Продукты","Мясо сушеное","29","Дефицит товара"
"Здоровье","Внутриматочные спирали","20","Дефицит товара"
"Здоровье","Аппликаторы грязевые","43","Дефицит товара"
"Строительные материалы","Дымоходы","2","Дефицит товара"
"Детское питание","Соки детские","59","Дефицит товара"
"Товары для малышей","Пледы для малышей","59","Дефицит товара"
"Продукты","Бананы","37","Дефицит товара"
"Аксессуары","Чехлы для радиостанций","3","Дефицит товара"
"Все для садоводства","Гидрогель для растений","32","Дефицит товара"
"Бытовая техника","Термопрессы для сублимации","24","Дефицит товара"
"Для праздника","Лента упаковочная","16","Дефицит товара"
"Товары для отдыха и кемпинга","Подставки для шампуров","41","Дефицит товара"
"Товары для животных","Полотенца для животных","64","Нормальная доступность товара"
"Техника для кухни","Мини-холодильники","32","Дефицит товара"
"Спортивный товар","Коврики туристические","28","Дефицит товара"
"Спортивный товар","Грипсы","123","Избыток товара"
"Строительные инструменты","Светофильтры сварочные","23","Дефицит товара"
"Автомобильные товары","Преобразователи давления","999","Избыток товара"
"Сантехника","Кронштейны душевые","49","Дефицит товара"
"Техника для кухни","Термощупы","30","Дефицит товара"
"Мебель","Перегородки офисные","0","Дефицит товара"
"Автомобильные товары","Накладки на лыжи снегохода","1","Дефицит товара"
"Рукоделие","Булавки","27","Дефицит товара"
"Мебель","Кресла-трансформеры","4","Дефицит товара"
"Умный дом и безопасность","Пульты Умный дом","11","Дефицит товара"
"Садовая техника","Запчасти для фермерской техники","0","Дефицит товара"
"Строительные инструменты","Кувалды","20","Дефицит товара"
"Все для садоводства","Удобрения для открытого грунта","91","Нормальная доступность товара"
"Строительные инструменты","Полировальные машины","27","Дефицит товара"
"Для праздника","Композиции живых цветов","69","Нормальная доступность товара"
"Садовая техника","Снеговые отвалы","0","Дефицит товара"
"Спортивный товар","Канторезы","35","Дефицит товара"
"Аксессуары для обуви","Накаблучники","19","Дефицит товара"
"Посуда и инвентарь","Спреи для цитрусовых","8","Дефицит товара"
"Товары для малышей","Матрасы в кроватку для новорожденных","5","Дефицит товара"
"Спортивный товар","Переходники для тормозной системы","47","Дефицит товара"
"Посуда и инвентарь","Наборы столовых приборов","25","Дефицит товара"
"Электроника","RGBW усилители","999","Избыток товара"
"Техника для кухни","Электрические консервные ножи","6","Дефицит товара"
"Спецодежда и СИЗы","Халаты рабочие","51","Дефицит товара"
"Дом","Ремни такелажные","95","Нормальная доступность товара"
"Спортивный товар","Аксессуары для подводной охоты","31","Дефицит товара"
"Дом","Чехлы для чистки кондиционера","220","Избыток товара"
"Продукты","Заправки салатные","16","Дефицит товара"
"Спецодежда и СИЗы","Платья медицинские","90","Нормальная доступность товара"
"Электроника","Лабораторные источники питания","2","Дефицит товара"
"Рукоделие","Наборы для лепки","36","Дефицит товара"
"Автомобильные товары","Жидкости гидравлические","17","Дефицит товара"
"Телевизоры и аудиотехника","Чехлы для наушников","34","Дефицит товара"
"Красота","Сыворотки","53","Дефицит товара"
"Строительные материалы","Кроссы оптические","0","Дефицит товара"
"Товары для животных","Перосъемные машины","1","Дефицит товара"
"Посуда и инвентарь","Контейнеры из полимеров","51","Дефицит товара"
"Продукты","Груши","1","Дефицит товара"
"Автомобильные товары","Фланцы автомобильные","1","Дефицит товара"
"Сантехника","Фильтры проточные","1","Дефицит товара"
"Красота","Вода косметическая","57","Дефицит товара"
"Спортивная одежда","Куртки для самбо","42","Дефицит товара"
"Электроника","Кронштейны для видеокамер","29","Дефицит товара"
"Для праздника","Хлопушки","24","Дефицит товара"
"Все для садоводства","Столы и стеллажи для рассады","39","Дефицит товара"
"Спортивная одежда","Трико борцовское","29","Дефицит товара"
"Автомобильные товары","Указатели уровня масла","0","Дефицит товара"
"Игрушки","Наборы для песочницы","62","Нормальная доступность товара"
"Фото и Видеотехника","Линзы для камер","31","Дефицит товара"
"Товары для взрослых","Вибропули","68","Нормальная доступность товара"
"Товары для взрослых","Ароматизаторы эротик","15","Дефицит товара"
"Спортивное питание и косметика","Креатины","35","Дефицит товара"
"Автомобильные товары","Органайзеры на сиденья","84","Нормальная доступность товара"
"Товары для животных","Тримминги","54","Дефицит товара"
"Сантехника","Столешницы для ванной","1","Дефицит товара"
"Электротранспорт","Сигвеи","6","Дефицит товара"
"Обувь","Полуботинки","161","Избыток товара"
"Красота","Кисти косметические","42","Дефицит товара"
"Спортивные аксессуары","Седла для лошади","3","Дефицит товара"
"Смартфоны и аксессуары","Осветители для смартфона","37","Дефицит товара"
"Сантехника","Пескоуловители","0","Дефицит товара"
"Автомобильные товары","Комплектующие к фонарям освещения","0","Дефицит товара"
"Товары для отдыха и кемпинга","Наборы аксессуаров для бани","37","Дефицит товара"
"Белье","Подкладки для бретелей","97","Нормальная доступность товара"
"Книжная продукция и диски","Обучающие диски","43","Дефицит товара"
"Посуда и инвентарь","Терки","31","Дефицит товара"
"Строительные материалы","Смазки для буров","0","Дефицит товара"
"Строительные материалы","Пробковые компенсаторы","1","Дефицит товара"
"Игрушки","Сюжетные игровые наборы","24","Дефицит товара"
"Товары для животных","Ветеринарные сельскохозяйственные инструменты","31","Дефицит товара"
"Хозяйственные товары","Ополаскиватели для посудомоечных машин","24","Дефицит товара"
"Мебель","Табуреты","12","Дефицит товара"
"Посуда и инвентарь","Касалетки","1","Дефицит товара"
"Спортивная одежда","Термоджемперы спортивные","74","Нормальная доступность товара"
"Оргтехника","МФУ","1","Дефицит товара"
"Товары для взрослых","Рамки 18+","0","Дефицит товара"
"Фото и Видеотехника","Телесуфлеры","27","Дефицит товара"
"Здоровье","Детские гели для десен","108","Нормальная доступность товара"
"Здоровье","Ремни для фиксации","54","Дефицит товара"
